us_since_last_measurement,us_latency1,us_latency2
8711000,566,507
9992000,516,421
11220000,1270,750
11855000,1290,944
9646000,504,370
11582000,1710,648
10260000,1600,770
8525000,454,392
9146000,485,389
10669000,1760,904
10021000,481,355
10887000,1610,934
9114000,433,427
11329000,1590,713
10127000,26700,16000
10781000,1520,717
9299000,557,539
9765000,631,529
8141000,518,516
9001000,481,357
8063000,478,370
8983000,648,506
9780000,692,420
9011000,477,448
10127000,599,350
10037000,468,362
9045000,583,394
8560000,425,355
9385000,633,512
10842000,1600,859
8474000,588,436
8122000,414,385
10124000,496,447
10102000,1010,468
9056000,532,495
11053000,1610,910
10008000,408,354
10150000,618,394
10521000,1630,712
8852000,469,374
8554000,438,415
11679000,1190,642
8432000,470,518
